"","caseid","id_svv_2","a6","a7","a8","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a31","a32","a33","a34","a35","a36","a37","a38","a39","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a53","a54","a55","a56","a57","a58","a59","a60","a61","a62","a63","a64","a65","a66","a68","a69","a70","a71","a72","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","a85","a86","a87","a88","a89","a90","a91","a92","a93","a94","a95","a96","a97","b6","b7","b11","b13","b15","b17","b19","b21","b23","b25","b26","b27","b28","b29","b30","b31","b32","b33","b34","b35","b36","b37","b38","b39","b40","b41","b42","b43","b44","b45","b46","b47","b48","b49","b50","b51","b52","b53","b54","b55","b56","b57","b58","b59","b60","b61","b62","b63","b64","b66","b67","b69","b70","b71","b72","b73","b75","b78","b81","b84","b87","b89","b91","b93","c6","c9","c12","c15","c18","c21","c24","c27","c28","c29","c30","c31","c32","c33","c34","c36","c38","c40","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c56","c57","c60","c62","c63","c65","c67","c68","c69","c72","c75","c77","c78","c80","c81","c82","c84","c86","c87","c88","c89","c90","c93","c94","day","month","origin","d5","d6","d8","d10","d11","d13","d14","d15","d16","d17","d18","d19","d20","d21","d23","d24","d25","d26","d27","d28","d29","d30","d31","d33","d34","d36","d37","d38","d40","sevev"
"1",2,855,4,3,NA,3,3,1,7,1,2,2,3,3,4,2,2,2,1,2,4,1,2,3,2,6,3,4,7,3,5,4,3,1,2,2,2,1,2,2,3,3,2,3,2,3,2,2,4,3,3,3,NA,6,5,4,3,NA,3,NA,NA,NA,NA,4,5,NA,8,4,2,NA,1,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,7,3,5,6,9,9,1,2,1,1,3,1,1,1,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,4,NA,4,NA,5,NA,NA,NA,4,1,12,6,5,5,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,1,4,NA,NA,NA,NA,8,8,8,85,2,16,94,1,NA,1,1,2,17,17,15,1,"Y3",5,5,3,2,2,1,1,1,374,3,1,1,3,3,1,1,38,3,6,4,1,2,2,3,3,4,4,19,4,4,3,5,4,2,2,2,85,1,15,1,3,4,4,1
"2",3,1204,2,3,1,3,2,5,6,NA,2,2,2,2,4,2,2,2,1,2,3,4,1,NA,3,3,5,1,3,2,4,3,1,2,2,1,2,2,2,3,1,4,3,2,1,4,2,2,3,NA,NA,NA,NA,4,6,3,5,2,1,2,NA,6,7,5,1,4,NA,2,6,3,1,4,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,6,3,5,6,10,9,2,1,1,1,2,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,3,NA,3,NA,4,NA,NA,NA,5,4,1,5,1,5,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,3,4,NA,NA,NA,NA,8,8,1,67,2,17,93,1,NA,1,2,3,17,17,16,1,"02",2,1,6,3,1,1,1,1,344,3,1,1,3,3,1,3,36,2,6,4,2,2,2,3,2,3,3,19,4,4,4,5,4,2,3,2,67,1,20,1,3,10,4,1
"3",4,861,4,3,37,5,3,5,7,3,4,4,1,4,1,2,4,2,3,2,4,3,1,2,7,7,5,6,7,5,7,7,2,1,2,2,4,1,2,4,2,3,4,2,1,1,4,1,4,5,5,5,2,9,4,9,NA,NA,5,3,NA,6,3,2,4,1,10,9,4,NA,5,2,1,2,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,7,5,5,4,6,6,NA,2,1,1,2,1,1,3,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,4,NA,2,3,4,NA,NA,NA,2,1,NA,5,3,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,1,NA,NA,NA,NA,NA,NA,8,1,8,64,1,17,97,1,10,11,2,2,17,17,15,2,"Y3",5,5,2,2,4,5,1,1,152,3,1,1,3,3,1,4,25,4,1,2,2,4,3,2,5,5,2,19,4,3,5,5,4,2,2,1,64,1,15,1,3,4,4,1
"4",5,854,4,4,1,5,3,4,4,NA,2,2,2,4,3,3,4,3,2,1,4,1,NA,NA,4,2,3,3,2,4,4,1,2,2,3,2,NA,1,1,3,1,2,4,1,4,1,4,4,4,5,5,NA,2,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,5,4,13,6,3,3,NA,NA,1,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,4,2,1,NA,NA,NA,NA,NA,NA,8,8,1,67,2,90,93,1,25,1,1,2,90,90,21,1,"Y3",5,5,2,3,3,1,1,1,171,3,1,6,3,3,1,13,16,4,1,4,2,4,2,3,5,4,4,18,4,4,2,3,4,3,3,2,67,1,21,1,3,4,4,1
"5",6,862,3,3,1,4,3,NA,NA,NA,2,3,2,2,4,2,1,3,1,1,4,3,1,2,1,7,7,7,1,1,3,1,1,2,3,2,3,1,3,2,1,4,1,1,4,4,4,1,4,4,3,4,2,6,5,5,4,4,4,5,NA,3,4,5,8,6,9,8,4,2,4,2,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,5,3,6,4,4,4,3,2,1,1,2,1,1,1,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,NA,2,NA,3,NA,5,NA,NA,NA,6,1,NA,6,3,3,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,8,8,8,63,3,16,93,1,12,3,1,2,16,16,15,1,"45",5,NA,3,3,3,NA,2,2,41,3,1,6,3,3,1,1,37,2,23,3,2,3,3,4,5,3,5,18,4,3,3,5,4,2,2,2,63,1,15,2,3,4,4,1
"6",7,863,3,3,1,3,2,3,8,9,3,3,1,2,4,2,4,3,1,2,3,2,4,1,4,7,6,4,7,3,7,7,2,2,3,2,3,1,2,2,1,4,1,2,2,2,4,2,3,5,5,5,3,3,3,10,4,4,8,2,NA,2,2,9,6,2,10,8,3,3,8,2,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,8,2,5,NA,NA,10,4,2,1,1,2,1,3,1,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,5,NA,2,NA,2,NA,NA,NA,3,6,4,6,3,3,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,4,1,3,NA,NA,NA,NA,8,2,1,70,2,17,95,1,9,1,1,2,17,17,12,2,"Y3",3,1,2,3,3,1,1,1,43,3,1,1,3,3,1,2,24,3,6,4,2,2,4,3,4,5,4,19,4,3,3,5,4,2,2,2,69,1,12,1,3,4,4,1
"7",9,NA,3,3,1,1,1,1,1,1,4,3,1,4,4,4,4,4,2,1,1,3,4,2,7,7,5,7,7,6,6,4,2,3,3,2,4,1,1,4,1,4,4,3,3,1,2,2,3,5,1,8,1,1,2,7,1,6,8,1,NA,1,1,9,1,1,2,7,1,5,8,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,8,1,1,2,10,8,1,2,1,1,2,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,2,3,2,3,2,3,NA,NA,3,4,14,5,3,5,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,1,2,3,NA,NA,NA,NA,8,8,1,53,2,91,90,1,18,1,3,3,91,91,10,NA,"61",1,1,1,1,3,1,1,1,135,3,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"8",11,NA,3,2,1,2,5,6,4,7,2,4,2,3,3,2,1,3,2,2,1,3,4,2,4,2,2,2,NA,2,3,2,2,2,3,2,2,1,2,1,1,4,2,2,2,2,4,2,3,5,6,3,2,5,2,3,2,2,7,3,NA,4,2,6,5,3,7,7,3,3,4,1,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,8,3,5,6,6,6,3,2,1,1,2,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,3,1,3,2,3,2,1,NA,NA,3,3,5,6,5,5,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,2,3,NA,NA,NA,NA,2,2,1,68,2,17,93,1,9,1,1,4,17,17,16,1,"61",3,3,3,2,3,1,2,1,206,3,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"9",12,1207,2,2,1,2,2,6,4,7,1,1,1,3,4,3,1,4,1,3,3,1,4,2,1,3,1,1,6,3,6,3,1,3,1,2,1,2,2,4,1,4,2,2,2,3,2,2,2,7,5,8,1,10,8,6,8,4,4,2,NA,8,5,6,8,4,8,4,7,5,3,1,3,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,6,4,4,8,7,7,2,1,NA,1,2,1,3,1,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,2,3,1,3,2,3,NA,NA,6,2,5,6,3,5,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,4,3,NA,NA,NA,NA,2,2,1,68,2,16,97,1,1,1,1,1,17,17,15,1,"Y3",3,1,3,2,3,1,1,1,400,3,1,1,3,3,1,1,15,2,6,2,1,4,5,4,4,5,2,19,4,5,4,5,5,1,1,2,68,1,18,1,3,10,4,1
"10",13,864,2,2,1,2,3,5,4,7,2,4,1,2,3,4,4,3,2,2,1,4,3,2,6,6,4,5,3,6,3,2,1,2,3,2,2,2,2,4,2,4,2,1,1,1,4,2,3,6,6,7,3,4,3,6,1,7,10,1,NA,3,2,8,4,5,8,10,1,7,4,2,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,6,4,5,NA,8,8,3,1,1,1,2,3,1,3,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,2,3,2,3,5,NA,NA,NA,3,1,NA,6,3,5,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,1,4,3,NA,NA,NA,NA,2,2,8,69,1,16,93,1,1,1,1,3,17,17,18,1,"Y3",5,5,3,2,4,1,1,1,206,3,1,1,3,3,1,4,32,2,6,4,1,3,4,5,2,2,4,17,4,4,4,5,4,2,3,2,69,1,17,1,3,4,4,1
"11",14,865,2,4,1,5,5,4,8,8,3,3,1,4,3,4,3,4,2,1,4,1,2,3,7,7,6,1,NA,5,7,7,2,2,1,2,4,1,1,1,1,4,4,4,2,1,4,4,4,3,8,1,1,5,NA,7,NA,NA,9,NA,NA,5,3,8,NA,NA,9,10,NA,NA,NA,2,5,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,6,3,3,NA,NA,8,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA,5,NA,2,NA,5,NA,NA,NA,3,1,14,6,3,5,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,4,3,2,NA,NA,NA,NA,8,8,8,40,1,19,99,1,13,1,1,3,27,19,12,2,"92",5,3,4,5,4,NA,1,1,41,3,1,1,3,3,1,4,34,2,5,4,1,3,3,4,5,4,3,18,4,3,3,5,4,2,3,2,40,1,12,1,3,4,4,1
"12",15,866,3,3,1,1,3,5,6,2,4,4,1,4,4,3,4,4,2,2,1,4,3,2,6,7,7,5,7,5,6,5,1,1,2,2,4,1,2,2,2,4,4,1,2,1,4,2,3,7,7,NA,3,3,2,5,2,5,7,1,NA,1,3,8,5,2,9,7,3,NA,7,2,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,6,3,4,NA,8,8,1,1,1,1,2,1,3,1,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,5,2,3,2,3,2,1,NA,NA,3,1,NA,5,1,5,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,1,2,3,NA,NA,NA,NA,8,8,1,67,2,86,98,1,NA,NA,NA,NA,16,17,16,1,"Y3",NA,5,4,2,3,1,1,2,271,3,1,1,3,3,1,2,24,4,6,4,2,3,3,4,5,5,5,19,4,4,3,5,2,2,2,2,68,1,16,2,3,4,4,1
"13",16,867,3,3,14,4,3,6,5,7,2,3,2,3,4,3,4,3,2,2,4,1,3,2,6,7,6,4,7,3,5,5,3,1,3,2,2,1,2,2,2,4,3,1,2,3,3,2,3,4,2,4,3,5,6,8,5,4,4,5,NA,5,1,7,5,4,8,3,5,3,1,2,1,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,8,3,7,5,8,6,4,2,1,3,3,1,1,1,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,2,3,2,4,2,3,NA,NA,3,3,5,5,3,3,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,4,3,NA,NA,NA,NA,8,8,8,56,3,16,91,1,13,10,1,1,16,19,14,2,"75",5,3,3,2,4,1,2,2,206,3,1,1,3,3,1,2,24,2,6,4,2,4,3,2,4,5,4,19,4,3,3,5,3,2,3,2,56,1,13,2,3,4,4,1
"14",19,NA,5,4,23,5,4,7,7,1,4,2,4,2,4,2,1,2,1,2,3,NA,NA,NA,6,1,1,1,1,1,1,1,1,1,1,4,3,3,3,4,4,3,4,4,2,3,2,3,2,8,9,NA,1,NA,9,2,5,3,5,1,NA,6,3,7,10,1,10,4,8,7,3,3,NA,3,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,2,10,5,1,3,5,5,2,NA,3,3,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,NA,3,4,NA,2,3,NA,NA,5,2,2,2,2,3,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,3,8,52,2,19,91,1,12,1,1,1,19,19,15,1,"03",4,1,5,1,2,1,1,2,334,3,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"15",20,NA,3,3,17,4,2,4,2,8,3,3,3,4,3,3,4,3,2,2,4,3,2,1,4,NA,4,4,NA,3,3,NA,1,1,3,2,3,3,3,2,1,4,1,3,2,2,4,2,3,5,3,9,4,2,5,4,3,NA,7,1,NA,5,4,7,8,1,7,8,6,4,4,5,NA,2,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,1,4,6,4,3,5,1,1,1,3,1,1,3,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA,1,NA,2,NA,5,NA,NA,NA,4,3,11,5,3,3,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,4,2,3,NA,NA,NA,NA,8,3,8,50,1,16,92,1,3,1,1,2,17,17,15,1,"45",4,1,4,4,3,1,1,2,45,3,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"16",21,1201,3,4,1,1,2,3,3,3,3,4,1,4,4,4,4,4,2,1,1,4,NA,NA,3,2,3,4,2,4,5,1,2,2,2,4,4,4,1,3,1,4,4,2,4,1,4,1,3,6,6,NA,2,3,2,4,2,6,5,2,NA,2,2,2,2,2,9,3,1,2,5,2,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,6,3,4,2,2,2,2,NA,1,3,2,1,1,1,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,NA,5,NA,5,NA,5,NA,NA,NA,5,4,1,6,2,3,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA,1,1,1,39,2,16,79,NA,NA,NA,NA,NA,18,16,18,1,"02",5,NA,3,4,3,1,1,1,45,3,1,6,3,3,1,2,22,4,3,2,2,3,2,3,4,5,2,19,4,4,4,5,4,1,3,1,39,1,15,1,3,10,4,1
"17",22,1202,4,3,14,1,1,6,3,8,4,2,1,4,2,4,4,4,2,1,4,3,1,2,7,7,3,6,7,3,4,6,1,3,3,2,4,1,2,3,1,4,2,2,2,2,3,1,3,7,9,9,2,8,2,4,9,2,1,1,NA,6,2,4,9,5,9,1,4,4,3,2,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,4,1,7,8,8,2,5,2,1,1,2,1,1,2,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,3,1,3,1,2,NA,NA,3,6,NA,6,3,5,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,4,NA,NA,NA,NA,NA,NA,8,8,8,43,2,16,91,1,2,10,1,4,16,16,16,1,"36",1,1,4,4,2,3,1,2,135,3,1,1,3,3,1,1,32,3,6,3,2,4,4,4,5,4,4,18,5,4,4,5,5,3,3,2,43,1,15,2,3,10,4,1
"18",23,1277,4,4,1,3,3,3,1,2,4,4,2,4,1,4,4,4,2,1,4,3,2,1,6,7,7,4,7,7,7,7,1,3,3,2,4,1,1,4,NA,4,1,2,3,1,4,2,3,3,3,2,2,3,1,3,NA,NA,6,1,NA,1,1,3,4,1,5,9,3,3,5,5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,8,1,5,NA,NA,NA,9,2,1,1,2,1,1,1,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,2,3,4,6,3,4,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,2,3,1,NA,NA,NA,NA,8,8,8,56,1,17,97,1,10,1,1,1,17,17,16,1,"45",5,1,5,6,4,1,1,2,274,3,1,1,3,3,1,4,53,3,6,4,2,1,1,4,4,5,3,19,3,1,1,2,2,3,4,2,56,5,16,2,3,11,4,1
"19",25,1200,3,3,1,5,3,5,7,7,2,NA,2,3,3,2,2,2,1,2,2,4,1,3,2,6,2,7,7,4,6,7,1,2,3,2,3,2,2,4,2,3,2,2,2,3,3,3,4,5,5,7,3,NA,5,8,NA,NA,8,NA,NA,3,5,2,8,NA,8,7,NA,NA,4,1,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,7,4,6,NA,NA,8,NA,2,1,1,2,1,1,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,5,NA,2,NA,4,NA,NA,NA,4,5,1,4,1,5,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,4,NA,NA,NA,NA,NA,NA,8,8,8,26,2,17,96,1,9,11,3,1,17,17,12,2,"48",2,3,4,4,3,5,1,2,117,3,1,1,3,3,2,NA,32,3,6,3,2,3,4,4,5,4,2,18,5,4,3,5,4,3,3,1,26,1,12,2,3,10,4,1
"20",26,869,3,3,1,2,3,4,2,3,3,4,4,4,2,3,4,2,3,2,1,4,2,3,7,7,4,3,7,5,5,5,2,1,3,NA,4,1,NA,4,2,2,4,1,2,2,4,1,4,5,3,5,2,3,1,4,NA,NA,6,3,NA,3,1,4,5,NA,NA,NA,NA,NA,4,2,1,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,2,1,1,1,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,NA,5,5,6,3,2,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,4,1,NA,NA,NA,NA,2,8,8,74,2,17,93,1,10,1,1,1,17,18,16,1,"Y3",NA,5,5,6,3,1,2,2,206,3,1,1,3,3,1,4,25,3,6,2,2,4,4,5,4,4,3,17,3,4,3,5,3,2,3,1,74,5,15,2,3,4,4,1
"21",28,1070,3,3,1,4,4,4,5,3,4,4,3,4,3,3,4,4,2,1,1,2,3,4,6,7,4,4,7,5,6,4,1,2,3,2,2,1,NA,2,1,3,3,2,2,2,4,1,3,4,5,3,1,3,1,4,1,5,6,1,NA,3,1,4,6,2,7,6,1,2,1,1,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5,3,5,NA,6,6,1,2,1,3,2,1,1,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,2,3,2,NA,1,NA,NA,NA,3,5,1,6,2,5,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,1,4,3,NA,NA,NA,NA,1,8,1,70,3,22,90,1,29,1,1,2,18,18,16,1,"08",3,1,5,5,3,1,2,1,45,3,1,1,3,3,1,4,36,3,6,4,1,2,3,4,4,5,2,18,5,5,4,4,1,7,3,2,70,1,16,1,3,6,4,1
"22",29,860,3,4,17,2,3,5,2,4,4,4,1,4,3,4,4,4,1,1,4,3,2,1,7,7,5,7,7,1,7,7,1,1,1,2,4,1,1,4,1,3,3,2,2,2,4,2,4,1,5,5,2,1,1,5,1,1,5,1,NA,1,1,8,5,1,5,8,1,1,1,2,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,8,1,5,NA,NA,10,1,2,1,1,2,1,2,1,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA,2,NA,1,NA,5,NA,NA,NA,2,4,2,6,1,4,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4,1,2,3,NA,NA,NA,NA,8,2,8,37,1,17,99,1,10,1,3,NA,17,17,15,1,"73",3,1,3,3,3,1,1,1,82,3,1,1,3,3,1,4,18,3,6,4,2,3,2,5,5,5,3,18,4,3,2,4,5,3,4,2,38,1,15,1,3,4,4,1
"23",31,859,4,3,23,5,3,3,5,4,3,3,2,3,4,3,3,4,1,2,4,2,1,3,4,3,5,4,4,3,5,6,2,1,1,2,4,1,1,2,3,2,3,3,2,2,4,3,3,4,7,7,2,2,1,3,4,NA,5,1,NA,4,3,6,3,1,10,5,4,NA,3,3,2,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,4,5,7,1,3,6,4,1,1,1,2,1,3,3,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,3,3,49,4,2,5,NA,NA,1,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,3,1,4,NA,NA,NA,NA,NA,8,8,8,38,1,17,99,1,9,10,1,2,17,17,12,2,"",4,3,3,2,3,3,2,2,171,3,1,1,3,3,2,NA,25,2,2,4,1,3,3,4,3,5,4,19,3,2,5,1,2,3,2,2,38,1,12,2,3,4,4,1
